Line Numbers,"Ca Elemental Percents""",Mg Elemental Percents,Sr Elemental Percents,Fe Elemental Percents,Mn Elemental Percents,S  Elemental Percents,,CaO Oxide Percents,MgO Oxide Percents,SrO Oxide Percents,FeO Oxide Percents,MnO Oxide Percents,SO3 Oxide Percents,Ca Atomic Percents,Mg Atomic Percents,Sr Atomic Percents,Fe Atomic Percents,Mn Atomic Percents,S  Atomic Percents,Ca Formula Atoms,Mg Formula Atoms,Sr Formula Atoms,Fe Formula Atoms,Mn Formula Atoms,S  Formula Atoms,Elemental Totals,Oxide Totals,Atomic Totals,Formula Totals,,Ca Detection Limits,Mg Detection Limits,Sr Detection Limits,Fe Detection Limits,Mn Detection Limits,S  Detection Limits,Ca Percent Errors,Mg Percent Errors,Sr Percent Errors,Fe Percent Errors,Mn Percent Errors,S  Percent Errors
Un   19  MD6_258_6_E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,21.845,13.220,0.013,0.267,0.103,0.010,,30.565897,21.923145,0.014837,0.343183,0.133334,0.023967,10.496347,10.474977,0.002758,0.091987,0.036197,0.005765,0.528034,0.526959,0.000139,0.004628,0.001821,0.00029,97.014374,97.014366,100.000008,5.030645,,0.016559,0.025676,0.053458,0.030033,0.028,0.010536,0.345708,0.517283,204.648682,6.597432,14.23,54.184849
127,21.931,13.129,0.000,0.263,0.122,0.015,,30.685516,21.771807,0,0.338606,0.157904,0.036372,10.542185,10.407365,0,0.090801,0.042886,0.008752,0.530275,0.523493,0,0.004567,0.002157,0.00044,97.000198,97.000206,100,5.030026,,0.017137,0.027308,0.057304,0.030867,0.028,0.009885,0.345222,0.520452,-628.36389,6.792447,12.25,34.55217
128,21.864,13.137,0.005,0.371,0.148,0.005,,30.591877,21.78558,0.006346,0.477445,0.191166,0.01316,10.507769,10.411723,0.00118,0.128005,0.051909,0.003166,0.528611,0.52378,0.000059,0.00644,0.002611,0.000159,97.075577,97.075577,99.999985,5.030671,,0.016425,0.025581,0.056167,0.029393,0.028,0.010181,0.345645,0.519453,497.020508,4.998785,10.32,93.619095
129,21.713,13.025,0.026,0.348,0.098,0.012,,30.381247,21.599882,0.031179,0.447972,0.126917,0.029808,10.471826,10.358987,0.005816,0.120522,0.034583,0.007197,0.526471,0.520798,0.000292,0.006059,0.001739,0.000362,96.626999,96.626999,99.999992,5.027499,,0.01605,0.027416,0.054976,0.029526,0.027,0.010401,0.346805,0.522919,101.9505,5.268301,14.69,43.532909
130,22.280,12.654,0.014,0.372,0.126,0.050,,31.17375,20.983572,0.016796,0.477965,0.162854,0.124249,10.73675,10.055698,0.003131,0.128493,0.044342,0.029974,0.539651,0.50542,0.000157,0.006458,0.002229,0.001507,96.949181,96.949188,100,5.026205,,0.016701,0.027822,0.054341,0.029521,0.028,0.009706,0.342362,0.531647,184.079681,5.006662,11.98,11.592372
131,22.309,12.951,0.024,0.314,0.119,0.028,,31.215233,21.477413,0.027955,0.404116,0.153598,0.06986,10.707261,10.250448,0.00519,0.108197,0.041651,0.016785,0.538643,0.515662,0.000261,0.005443,0.002095,0.000844,97.358177,97.35817,99.999992,5.03063,,0.016337,0.025774,0.057994,0.030555,0.029,0.01002,0.342086,0.523536,119.124001,5.837685,12.78,19.331736
132,21.909,13.083,0.055,0.391,0.084,0.003,,30.654606,21.695644,0.065629,0.502755,0.108378,0.008148,10.535324,10.37466,0.012207,0.134868,0.029446,0.001962,0.529959,0.521877,0.000614,0.006784,0.001481,0.000099,97.045166,97.045166,99.999992,5.030309,,0.016794,0.026272,0.049832,0.031215,0.028,0.010427,0.345373,0.520993,46.251438,4.966807,17.17,153.128525
133,21.800,13.037,0.036,0.404,0.103,0.003,,30.503231,21.620045,0.04285,0.519382,0.132955,0.007299,10.500457,10.355428,0.007983,0.139556,0.036182,0.00176,0.528068,0.520774,0.000401,0.007018,0.00182,0.000089,96.835754,96.835754,100,5.028996,,0.016159,0.027806,0.053111,0.030045,0.028,0.010521,0.346182,0.523163,72.8489,4.740082,14.52,172.164352
134,21.725,13.135,0.036,0.299,0.135,0.014,,30.398043,21.781853,0.042097,0.385168,0.174301,0.034395,10.458095,10.426797,0.007838,0.103432,0.047406,0.008288,0.52593,0.524356,0.000394,0.005202,0.002384,0.000417,96.825859,96.825851,100.000008,5.028924,,0.016124,0.027149,0.055665,0.030976,0.027,0.010259,0.346732,0.520344,77.303703,6.122503,11.07,37.591576
