Pos. [°2Th.],Height [cts],FWHM [°2Th.],d-spacing [Å],Rel. Int. [%]
24.2349,39.18,0.2007,3.6726,5.51
26.8011,50.49,0.2007,3.32649,7.1
31.1183,711.25,0.1004,2.87413,100
33.6995,38.35,0.3346,2.65966,5.39
35.5873,29.7,0.2676,2.52279,4.18
37.5585,76.99,0.3346,2.39479,10.82
41.2766,201.89,0.3011,2.18726,28.39
43.9364,25.16,0.2676,2.06082,3.54
45.0875,134.18,0.1338,2.01085,18.87
49.4335,26.9,0.4015,1.84376,3.78
50.6865,121.27,0.3346,1.80109,17.05
51.2824,161.72,0.2342,1.78155,22.74
59.0713,27.23,0.4015,1.56388,3.83
60.0229,54.97,0.2676,1.54134,7.73
63.605,45.38,0.2676,1.4629,6.38
67.5241,48.23,0.3346,1.38721,6.78
70.6293,19.75,0.4015,1.33365,2.78
77.302,15.43,0.5353,1.23434,2.17
79.9375,11.24,0.8029,1.20015,1.58
82.7211,16.19,0.816,1.16571,2.28
,,,,
